Started Logging on Sun Mar 07 22:50:15 1999 
count,hh,mm,ss,AD1,AD2,AD3,AD4,IP1,IP2,IP3,IP4
000124,22,50,15,116,114,119,006,0,0,0,0
000125,22,50,15,116,114,121,007,0,0,0,0
000126,22,50,15,116,113,121,006,0,0,0,0
000127,22,50,15,116,113,116,006,0,0,0,0
000128,22,50,15,116,113,116,006,0,0,0,0
000129,22,50,15,116,113,116,006,0,0,0,0
000130,22,50,15,116,113,119,006,0,0,0,0
000131,22,50,15,116,113,116,006,0,0,0,0
000132,22,50,15,116,113,116,006,0,0,0,0
000133,22,50,15,116,113,117,006,0,0,0,0
000134,22,50,15,116,113,117,006,0,0,0,0
000135,22,50,15,116,113,116,006,0,0,0,0
000136,22,50,15,116,113,118,006,0,0,0,0
000137,22,50,15,116,113,119,006,0,0,0,0
000138,22,50,15,116,113,118,006,0,0,0,0
000139,22,50,15,116,113,118,006,0,0,0,0
000140,22,50,15,116,113,118,006,0,0,0,0
000141,22,50,15,116,113,119,006,0,0,0,0
000142,22,50,15,116,113,119,006,0,0,0,0
000143,22,50,15,116,113,116,006,0,0,0,0
000144,22,50,15,116,113,119,006,0,0,0,0
000145,22,50,15,116,113,119,006,0,0,0,0
000146,22,50,15,116,113,119,006,0,0,0,0
000147,22,50,15,116,113,118,006,0,0,0,0
000148,22,50,15,116,113,117,006,0,0,0,0
000149,22,50,15,116,114,119,006,0,0,0,0
000150,22,50,15,116,113,116,006,0,0,0,0
000151,22,50,15,115,113,116,006,0,0,0,0
000152,22,50,15,116,113,117,006,0,0,0,0
000153,22,50,15,117,113,116,006,0,0,0,0
000154,22,50,15,116,113,116,006,0,0,0,0
000155,22,50,15,116,113,116,006,0,0,0,0
000156,22,50,15,116,113,117,006,0,0,0,0
000157,22,50,15,116,113,117,006,0,0,0,0
000158,22,50,15,116,113,117,006,0,0,0,0
000159,22,50,15,116,113,119,006,0,0,0,0
000160,22,50,15,116,113,119,006,0,0,0,0
000161,22,50,15,116,114,119,006,0,0,0,0
000162,22,50,15,116,114,118,006,0,0,0,0
000163,22,50,15,116,114,118,006,0,0,0,0
000164,22,50,15,116,113,116,006,0,0,0,0
000165,22,50,15,117,115,116,006,0,0,0,0
000166,22,50,15,116,113,116,006,0,0,0,0
000167,22,50,15,116,113,116,006,0,0,0,0
000168,22,50,15,116,113,116,006,0,0,0,0
000169,22,50,15,117,113,117,006,0,0,0,0
000170,22,50,15,116,114,119,006,0,0,0,0
000171,22,50,15,116,113,119,006,0,0,0,0
000172,22,50,15,116,114,117,006,0,0,0,0
000173,22,50,15,118,114,118,006,0,0,0,0
000174,22,50,15,116,113,118,006,0,0,0,0
000175,22,50,15,116,113,117,006,0,0,0,0
000176,22,50,15,116,113,117,006,0,0,0,0
000177,22,50,15,117,117,118,006,0,0,0,0
000178,22,50,15,116,113,117,006,0,0,0,0
000179,22,50,15,116,113,117,006,0,0,0,0
000180,22,50,15,116,113,117,006,0,0,0,0
000181,22,50,15,117,114,118,006,0,0,0,0
000182,22,50,15,116,113,117,006,0,0,0,0
000183,22,50,15,116,113,116,006,0,0,0,0
000184,22,50,15,116,113,116,006,0,0,0,0
000185,22,50,15,117,114,116,006,0,0,0,0
000186,22,50,15,116,113,116,006,0,0,0,0
000187,22,50,15,116,113,118,006,0,0,0,0
000188,22,50,15,116,113,116,006,0,0,0,0
000189,22,50,15,116,113,119,006,0,0,0,0
000190,22,50,15,116,113,117,006,0,0,0,0
000191,22,50,15,116,113,118,006,0,0,0,0
000192,22,50,15,116,113,116,006,0,0,0,0
000193,22,50,15,117,114,130,006,0,0,0,0
000194,22,50,15,165,113,150,006,0,0,0,0
000195,22,50,15,116,113,118,006,0,0,0,0
000196,22,50,15,116,113,119,006,0,0,0,0
000197,22,50,15,116,113,119,006,0,0,0,0
000198,22,50,15,116,114,119,006,0,0,0,0
000199,22,50,15,116,113,119,006,0,0,0,0
updating time (100 readings since last time update)
000200,22,50,16,117,116,118,006,0,0,0,0
000201,22,50,16,116,113,116,006,0,0,0,0
000202,22,50,16,116,113,116,006,0,0,0,0
000203,22,50,16,116,114,118,006,0,0,0,0
000204,22,50,16,117,114,117,006,0,0,0,0
000205,22,50,16,116,113,119,006,0,0,0,0
000206,22,50,16,115,113,118,006,0,0,0,0
000207,22,50,16,116,113,119,006,0,0,0,0
000208,22,50,16,119,113,117,006,0,0,0,0
000209,22,50,16,115,113,117,006,0,0,0,0
000210,22,50,16,115,113,118,006,0,0,0,0
000211,22,50,16,116,113,118,006,0,0,0,0
000212,22,50,16,118,113,118,006,0,0,0,0
000213,22,50,16,116,113,118,007,0,0,0,0
000214,22,50,16,116,113,118,006,0,0,0,0
000215,22,50,16,116,113,118,006,0,0,0,0
000216,22,50,16,117,114,117,006,0,0,0,0
000217,22,50,16,116,113,118,006,0,0,0,0
000218,22,50,16,116,113,116,006,0,0,0,0
000219,22,50,16,116,113,116,006,0,0,0,0
000220,22,50,16,117,114,117,006,0,0,0,0
000221,22,50,16,116,113,118,006,0,0,0,0
000222,22,50,16,116,113,116,006,0,0,0,0
000223,22,50,16,116,113,116,006,0,0,0,0
000224,22,50,16,119,113,117,006,0,0,0,0
000225,22,50,16,116,113,118,006,0,0,0,0
000226,22,50,16,116,113,118,007,0,0,0,0
000227,22,50,16,116,113,119,006,0,0,0,0
000228,22,50,16,116,113,121,006,0,0,0,0
000229,22,50,16,116,113,117,006,0,0,0,0
000230,22,50,16,116,113,117,006,0,0,0,0
000231,22,50,16,116,113,118,006,0,0,0,0
000232,22,50,16,117,113,118,006,0,0,0,0
000233,22,50,16,116,113,119,006,0,0,0,0
000234,22,50,16,116,113,119,006,0,0,0,0
000235,22,50,16,116,113,119,006,0,0,0,0
000236,22,50,16,116,117,119,006,0,0,0,0
000237,22,50,16,116,113,119,006,0,0,0,0
000238,22,50,16,116,114,119,006,0,0,0,0
000239,22,50,16,116,114,118,006,0,0,0,0
000240,22,50,16,116,114,118,006,0,0,0,0
000241,22,50,16,116,113,119,006,0,0,0,0
000242,22,50,16,116,113,119,006,0,0,0,0
000243,22,50,16,116,113,119,006,0,0,0,0
000244,22,50,16,116,113,118,006,0,0,0,0
000245,22,50,16,117,113,119,006,0,0,0,0
000246,22,50,16,116,113,117,006,0,0,0,0
000247,22,50,16,116,113,116,006,0,0,0,0
000248,22,50,16,116,113,119,006,0,0,0,0
000249,22,50,16,116,113,117,006,0,0,0,0
000250,22,50,16,116,113,118,006,0,0,0,0
000251,22,50,16,116,113,118,006,0,0,0,0
000252,22,50,16,116,113,119,006,0,0,0,0
000253,22,50,16,116,113,119,006,0,0,0,0
000254,22,50,16,116,113,119,006,0,0,0,0
000255,22,50,16,116,113,118,006,0,0,0,0
000256,22,50,16,116,113,120,006,0,0,0,0
000257,22,50,16,116,113,117,006,0,0,0,0
000258,22,50,16,116,113,117,006,0,0,0,0
000259,22,50,16,116,113,117,006,0,0,0,0
000260,22,50,16,116,113,118,006,0,0,0,0
000261,22,50,16,116,113,118,006,0,0,0,0
000262,22,50,16,116,113,116,006,0,0,0,0
000263,22,50,16,116,113,117,006,0,0,0,0
000264,22,50,16,116,113,118,007,0,0,0,0
000265,22,50,16,116,114,119,006,0,0,0,0
000266,22,50,16,116,113,118,006,0,0,0,0
000267,22,50,16,118,113,116,006,0,0,0,0
000268,22,50,16,116,113,116,006,0,0,0,0
000269,22,50,16,116,113,116,006,0,0,0,0
000270,22,50,16,116,113,116,006,0,0,0,0
000271,22,50,16,116,113,117,006,0,0,0,0
000272,22,50,16,116,113,116,007,0,0,0,0
000273,22,50,16,116,114,116,006,0,0,0,0
000274,22,50,16,116,113,116,006,0,0,0,0
000275,22,50,16,116,113,116,006,0,0,0,0
000276,22,50,16,115,113,116,006,0,0,0,0
000277,22,50,16,115,113,118,006,0,0,0,0
000278,22,50,16,115,113,117,006,0,0,0,0
000279,22,50,16,118,113,119,006,0,0,0,0
000280,22,50,16,116,113,119,006,0,0,0,0
000281,22,50,16,116,113,120,006,0,0,0,0
000282,22,50,16,116,113,121,006,0,0,0,0
000283,22,50,16,118,113,121,006,0,0,0,0
000284,22,50,16,116,113,121,006,0,0,0,0
000285,22,50,16,116,113,119,006,0,0,0,0
